year,region,value
2007,Кировская область,723.0
2007,Костромская область,734.0
2007,Краснодарский край,475.0
2007,Красноярский край,512.0
2007,Крым,
2007,Курганская область,622.0
2007,Курская область,440.0
2007,Ленинградская область,608.0
2007,Липецкая область,461.0
2007,Магаданская область,874.0
2007,Марий Эл,648.0
2007,Мордовия,635.0
2007,Москва,484.0
2007,Московская область,635.0
2007,Мурманская область,1025.0
2007,Ненецкий автономный округ,818.0
2007,Нижегородская область,706.0
2007,Новгородская область,812.0
2007,Новосибирская область,491.0
2007,Омская область,461.0
2007,Оренбургская область,595.0
2007,Орловская область,657.0
2007,Пензенская область,588.0
2007,Пермский край,638.0
2007,Приморский край,547.0
2007,Псковская область,598.0
2007,Республика Алтай,378.0
2007,Республика Коми,804.0
2007,Республика Тыва,471.0
2007,Ростовская область,469.0
2007,Рязанская область,558.0
2007,Самарская область,603.0
2007,Санкт-Петербург,637.0
2007,Саратовская область,676.0
2007,Сахалинская область,540.0
2007,Свердловская область,630.0
2007,Севастополь,
2007,Северная Осетия,457.0
2007,Смоленская область,608.0
2007,Ставропольский край,527.0
2007,Тамбовская область,528.0
2007,Татарстан,664.0
2007,Тверская область,708.0
2007,Томская область,493.0
2007,Тульская область,651.0
2007,Тюменская область,511.0
2007,Удмуртия,758.0
2007,Ульяновская область,572.0
2007,Хабаровский край,646.0
2007,Хакасия,586.0
2007,Ханты-Мансийский автономный округ,511.0
2007,Челябинская область,709.0
2007,Чечня,66.0
2007,Чувашия,729.0
2007,Чукотский автономный округ,943.0
2007,Якутия,615.0
2007,Ямало-Ненецкий автономный округ,636.0
2007,Ярославская область,725.0
2008,Адыгея,391.0
2008,Алтайский край,530.0
2008,Амурская область,574.0
2008,Архангельская область,718.0
2008,Астраханская область,537.0
2008,Башкортостан,518.0
2008,Белгородская область,611.0
2008,Брянская область,583.0
2008,Бурятия,476.0
2008,Владимирская область,783.0
2008,Волгоградская область,521.0
2008,Вологодская область,767.0
2008,Воронежская область,488.0
2008,Дагестан,203.0
2008,Еврейская автономная область,581.0
2008,Забайкальский край,496.0
2008,Ивановская область,732.0
2008,Ингушетия,61.0
2008,Иркутская область,551.0
2008,Кабардино-Балкария,500.0
2008,Калининградская область,511.0
2008,Калмыкия,504.0
2008,Калужская область,566.0
2008,Камчатский край,696.0
2008,Карачаево-Черкесия,352.0
2008,Карелия,807.0
2008,Кемеровская область,503.0
2008,Кировская область,726.0
2008,Костромская область,725.0
2008,Краснодарский край,478.0
2008,Красноярский край,513.0
2008,Крым,
2008,Курганская область,623.0
2008,Курская область,440.0
2008,Ленинградская область,621.0
2008,Липецкая область,447.0
2008,Магаданская область,848.0
2008,Марий Эл,651.0
2008,Мордовия,628.0
2008,Москва,525.0
2008,Московская область,653.0
2008,Мурманская область,1020.0
2008,Ненецкий автономный округ,873.0
2008,Нижегородская область,676.0
2008,Новгородская область,794.0
2008,Новосибирская область,511.0
2008,Омская область,467.0
2008,Оренбургская область,581.0
2008,Орловская область,661.0
2008,Пензенская область,570.0
2008,Пермский край,639.0
2008,Приморский край,559.0
2008,Псковская область,611.0
2008,Республика Алтай,365.0
2008,Республика Коми,836.0
2008,Республика Тыва,438.0
2008,Ростовская область,473.0
2008,Рязанская область,545.0
2008,Самарская область,598.0
2008,Санкт-Петербург,652.0
2008,Саратовская область,654.0
2008,Сахалинская область,541.0
2008,Свердловская область,633.0
2008,Севастополь,
2008,Северная Осетия,447.0
2008,Смоленская область,621.0
2008,Ставропольский край,507.0
2008,Тамбовская область,530.0
2008,Татарстан,660.0
2008,Тверская область,687.0
2008,Томская область,499.0
2008,Тульская область,658.0
2008,Тюменская область,509.0
2008,Удмуртия,749.0
2008,Ульяновская область,587.0
2008,Хабаровский край,643.0
2008,Хакасия,586.0
2008,Ханты-Мансийский автономный округ,509.0
2008,Челябинская область,733.0
2008,Чечня,81.0
2008,Чувашия,712.0
2008,Чукотский автономный округ,945.0
2008,Якутия,596.0
2008,Ямало-Ненецкий автономный округ,635.0
2008,Ярославская область,730.0
2009,Адыгея,375.0
2009,Алтайский край,526.0
2009,Амурская область,566.0
2009,Архангельская область,707.0
2009,Астраханская область,520.0
2009,Башкортостан,512.0
2009,Белгородская область,588.0
2009,Брянская область,564.0
2009,Бурятия,450.0
2009,Владимирская область,743.0
2009,Волгоградская область,518.0
2009,Вологодская область,756.0
2009,Воронежская область,471.0
2009,Дагестан,205.0
2009,Еврейская автономная область,573.0
2009,Забайкальский край,487.0
2009,Ивановская область,730.0
2009,Ингушетия,59.0
2009,Иркутская область,530.0
2009,Кабардино-Балкария,494.0
2009,Калининградская область,519.0
2009,Калмыкия,474.0
2009,Калужская область,581.0
2009,Камчатский край,747.0
2009,Карачаево-Черкесия,331.0
2009,Карелия,802.0
2009,Кемеровская область,501.0
2009,Кировская область,709.0
2009,Костромская область,716.0
2009,Краснодарский край,470.0
2009,Красноярский край,504.0
2009,Крым,
2009,Курганская область,606.0
2009,Курская область,436.0
2009,Ленинградская область,605.0
2009,Липецкая область,464.0
2009,Магаданская область,835.0
2009,Марий Эл,649.0
2009,Мордовия,620.0
2009,Москва,535.0
2009,Московская область,636.0
2009,Мурманская область,810.0
2009,Ненецкий автономный округ,934.0
2009,Нижегородская область,648.0
2009,Новгородская область,804.0
2009,Новосибирская область,509.0
2009,Омская область,471.0
2009,Оренбургская область,573.0
2009,Орловская область,646.0
2009,Пензенская область,557.0
2009,Пермский край,622.0
2009,Приморский край,565.0
2009,Псковская область,605.0
2009,Республика Алтай,352.0
2009,Республика Коми,827.0
2009,Республика Тыва,407.0
2009,Ростовская область,469.0
2009,Рязанская область,534.0
2009,Самарская область,551.0
2009,Санкт-Петербург,660.0
2009,Саратовская область,639.0
2009,Сахалинская область,531.0
2009,Свердловская область,621.0
2009,Севастополь,
2009,Северная Осетия,429.0
2009,Смоленская область,605.0
2009,Ставропольский край,492.0
2009,Тамбовская область,516.0
2009,Татарстан,648.0
2009,Тверская область,678.0
2009,Томская область,498.0
2009,Тульская область,636.0
2009,Тюменская область,506.0
2009,Удмуртия,724.0
2009,Ульяновская область,598.0
2009,Хабаровский край,634.0
2009,Хакасия,551.0
2009,Ханты-Мансийский автономный округ,506.0
2009,Челябинская область,719.0
2009,Чечня,97.0
2009,Чувашия,689.0
2009,Чукотский автономный округ,944.0
2009,Якутия,576.0
2009,Ямало-Ненецкий автономный округ,615.0
2009,Ярославская область,721.0
2010,Адыгея,383.0
2010,Алтайский край,523.0
2010,Амурская область,591.0
2010,Архангельская область,727.0
2010,Астраханская область,529.0
2010,Башкортостан,504.0
2010,Белгородская область,581.0
2010,Брянская область,548.0
2010,Бурятия,430.0
2010,Владимирская область,736.0
2010,Волгоградская область,512.0
2010,Вологодская область,741.0
2010,Воронежская область,463.0
2010,Дагестан,213.0
2010,Еврейская автономная область,568.0
2010,Забайкальский край,477.0
2010,Ивановская область,713.0
2010,Ингушетия,55.0
2010,Иркутская область,523.0
2010,Кабардино-Балкария,454.0
2010,Калининградская область,529.0
2010,Калмыкия,455.0
2010,Калужская область,558.0
2010,Камчатский край,745.0
2010,Карачаево-Черкесия,319.0
2010,Карелия,779.0
2010,Кемеровская область,496.0
2010,Кировская область,695.0
2010,Костромская область,706.0
2010,Краснодарский край,475.0
2010,Красноярский край,496.0
2010,Крым,
2010,Курганская область,595.0
2010,Курская область,439.0
2010,Ленинградская область,604.0
2010,Липецкая область,473.0
2010,Магаданская область,832.0
2010,Марий Эл,635.0
2010,Мордовия,599.0
2010,Москва,532.0
2010,Московская область,626.0
2010,Мурманская область,796.0
2010,Ненецкий автономный округ,914.0
2010,Нижегородская область,651.0
2010,Новгородская область,801.0
2010,Новосибирская область,506.0
2010,Омская область,469.0
2010,Оренбургская область,561.0
2010,Орловская область,639.0
2010,Пензенская область,557.0
2010,Пермский край,612.0
2010,Приморский край,576.0
2010,Псковская область,608.0
2010,Республика Алтай,357.0
2010,Республика Коми,843.0
2010,Республика Тыва,377.0
2010,Ростовская область,495.0
2010,Рязанская область,541.0
2010,Самарская область,548.0
2010,Санкт-Петербург,691.0
2010,Саратовская область,626.0
2010,Сахалинская область,555.0
2010,Свердловская область,641.0
2010,Севастополь,
2010,Северная Осетия,434.0
2010,Смоленская область,604.0
2010,Ставропольский край,488.0
2010,Тамбовская область,530.0
2010,Татарстан,639.0
2010,Тверская область,718.0
2010,Томская область,493.0
2010,Тульская область,622.0
2010,Тюменская область,509.0
2010,Удмуртия,724.0
2010,Ульяновская область,586.0
2010,Хабаровский край,649.0
2010,Хакасия,564.0
2010,Ханты-Мансийский автономный округ,509.0
2010,Челябинская область,710.0
2010,Чечня,110.0
2010,Чувашия,673.0
2010,Чукотский автономный округ,1004.0
2010,Якутия,
2010,Ямало-Ненецкий автономный округ,609.0
2010,Ярославская область,725.0
2011,Адыгея,386.0
2011,Алтайский край,525.0
2011,Амурская область,602.0
2011,Архангельская область,746.0
2011,Астраханская область,534.0
2011,Башкортостан,557.0
2011,Белгородская область,612.0
2011,Брянская область,552.0
2011,Бурятия,429.0
2011,Владимирская область,755.0
2011,Волгоградская область,511.0
2011,Вологодская область,774.0
2011,Воронежская область,477.0
2011,Дагестан,200.0
2011,Еврейская автономная область,589.0
2011,Забайкальский край,473.0
2011,Ивановская область,726.0
2011,Ингушетия,55.0
2011,Иркутская область,510.0
2011,Кабардино-Балкария,459.0
2011,Калининградская область,540.0
2011,Калмыкия,434.0
2011,Калужская область,610.0
2011,Камчатский край,728.0
2011,Карачаево-Черкесия,337.0
2011,Карелия,790.0
2011,Кемеровская область,525.0
2011,Кировская область,692.0
2011,Костромская область,687.0
2011,Краснодарский край,483.0
2011,Красноярский край,546.0
2011,Крым,
2011,Курганская область,635.0
2011,Курская область,439.0
2011,Ленинградская область,614.0
2011,Липецкая область,490.0
2011,Магаданская область,847.0
2011,Марий Эл,641.0
2011,Мордовия,583.0
2011,Москва,609.0
2011,Московская область,637.0
2011,Мурманская область,799.0
2011,Ненецкий автономный округ,864.0
2011,Нижегородская область,718.0
2011,Новгородская область,829.0
2011,Новосибирская область,512.0
2011,Омская область,484.0
2011,Оренбургская область,581.0
2011,Орловская область,619.0
2011,Пензенская область,572.0
2011,Пермский край,602.0
2011,Приморский край,614.0
2011,Псковская область,625.0
2011,Республика Алтай,367.0
2011,Республика Коми,867.0
2011,Республика Тыва,359.0
2011,Ростовская область,511.0
2011,Рязанская область,559.0
2011,Самарская область,554.0
2011,Санкт-Петербург,719.0
2011,Саратовская область,597.0
2011,Сахалинская область,591.0
2011,Свердловская область,653.0
2011,Севастополь,
2011,Северная Осетия,495.0
2011,Смоленская область,614.0
2011,Ставропольский край,495.0
2011,Тамбовская область,539.0
2011,Татарстан,660.0
2011,Тверская область,727.0
2011,Томская область,571.0
2011,Тульская область,662.0
2011,Тюменская область,524.0
2011,Удмуртия,714.0
2011,Ульяновская область,571.0
2011,Хабаровский край,650.0
2011,Хакасия,558.0
2011,Ханты-Мансийский автономный округ,524.0
2011,Челябинская область,693.0
2011,Чечня,111.0
2011,Чувашия,732.0
2011,Чукотский автономный округ,1008.0
2011,Якутия,568.0
2011,Ямало-Ненецкий автономный округ,615.0
2011,Ярославская область,732.0
2012,Адыгея,408.0
2012,Алтайский край,533.0
2012,Амурская область,603.0
2012,Архангельская область,758.0
2012,Астраханская область,524.0
2012,Башкортостан,574.0
2012,Белгородская область,632.0
2012,Брянская область,593.0
2012,Бурятия,431.0
2012,Владимирская область,801.0
2012,Волгоградская область,540.0
2012,Вологодская область,791.0
2012,Воронежская область,504.0
2012,Дагестан,205.0
2012,Еврейская автономная область,621.0
2012,Забайкальский край,485.0
2012,Ивановская область,736.0
2012,Ингушетия,72.0
2012,Иркутская область,542.0
2012,Кабардино-Балкария,482.0
2012,Калининградская область,575.0
2012,Калмыкия,450.0
2012,Калужская область,625.0
2012,Камчатский край,770.0
2012,Карачаево-Черкесия,359.0
2012,Карелия,807.0
2012,Кемеровская область,588.0
2012,Кировская область,743.0
2012,Костромская область,691.0
2012,Краснодарский край,490.0
2012,Красноярский край,540.0
2012,Крым,
2012,Курганская область,652.0
2012,Курская область,435.0
2012,Ленинградская область,606.0
2012,Липецкая область,582.0
2012,Магаданская область,859.0
2012,Марий Эл,693.0
2012,Мордовия,607.0
2012,Москва,633.0
2012,Московская область,652.0
2012,Мурманская область,794.0
2012,Ненецкий автономный округ,844.0
2012,Нижегородская область,745.0
2012,Новгородская область,875.0
2012,Новосибирская область,521.0
2012,Омская область,539.0
2012,Оренбургская область,591.0
2012,Орловская область,656.0
2012,Пензенская область,595.0
2012,Пермский край,650.0
2012,Приморский край,639.0
2012,Псковская область,621.0
2012,Республика Алтай,396.0
2012,Республика Коми,892.0
2012,Республика Тыва,339.0
2012,Ростовская область,511.0
2012,Рязанская область,556.0
2012,Самарская область,670.0
2012,Санкт-Петербург,710.0
2012,Саратовская область,600.0
