year,region,value
2016,Псковская область,692.0
2016,Республика Алтай,518.0
2016,Республика Коми,924.0
2016,Республика Тыва,399.0
2016,Ростовская область,576.0
2016,Рязанская область,631.0
2016,Самарская область,659.0
2016,Санкт-Петербург,653.0
2016,Саратовская область,669.0
2016,Сахалинская область,748.0
2016,Свердловская область,734.0
2016,Севастополь,500.0
2016,Северная Осетия,508.0
2016,Смоленская область,725.0
2016,Ставропольский край,604.0
2016,Тамбовская область,756.0
2016,Татарстан,607.0
2016,Тверская область,748.0
2016,Томская область,686.0
2016,Тульская область,761.0
2016,Тюменская область,657.0
2016,Удмуртия,703.0
2016,Ульяновская область,613.0
2016,Хабаровский край,651.0
2016,Хакасия,719.0
2016,Ханты-Мансийский автономный округ,657.0
2016,Челябинская область,751.0
2016,Чечня,274.0
2016,Чувашия,778.0
2016,Чукотский автономный округ,1048.0
2016,Якутия,675.0
2016,Ямало-Ненецкий автономный округ,696.0
2016,Ярославская область,754.0
